Category_Name,Depth,Level1,Level2,승용,승합,화물,특수,총계
강남구,2,서울,강남구,228896,4196,15547,563,249202
강동구,2,서울,강동구,150363,3529,14459,485,168836
강북구,2,서울,강북구,61393,2593,7733,264,71983
강서구,2,서울,강서구,176663,5067,19730,757,202217
관악구,2,서울,관악구,101301,2894,10752,382,115329
광진구,2,서울,광진구,82845,2134,10402,239,95620
구로구,2,서울,구로구,118961,3835,15834,470,139100
금천구,2,서울,금천구,74038,2623,12335,299,89295
노원구,2,서울,노원구,133220,3502,11423,541,148686
도봉구,2,서울,도봉구,79973,2604,9827,372,92776
동대문구,2,서울,동대문구,93067,2381,11657,319,107424
동작구,2,서울,동작구,95142,2063,7280,355,104840
마포구,2,서울,마포구,104864,2742,11841,824,120271
서대문구,2,서울,서대문구,80812,2225,7307,270,90614
서초구,2,서울,서초구,160476,3483,14405,484,178848
성동구,2,서울,성동구,91736,2563,10023,376,104698
성북구,2,서울,성북구,108170,3482,9805,327,121784
송파구,2,서울,송파구,216173,5163,20852,810,242998
양천구,2,서울,양천구,129983,3421,13156,696,147256
영등포구,2,서울,영등포구,120499,3357,16752,1155,141763
용산구,2,서울,용산구,63894,1624,5587,186,71291
은평구,2,서울,은평구,117048,3279,11512,402,132241
종로구,2,서울,종로구,40828,3003,5601,296,49728
중구,2,서울,중구,39831,2672,5645,285,48433
중랑구,2,서울,중랑구,97318,3133,13775,593,114819
서울,1,서울,,2767494,77568,293240,11750,3150052
강진군,2,전남광주,강진군,13052,586,7466,141,21245
고흥군,2,전남광주,고흥군,22220,1126,13278,194,36818
곡성군,2,전남광주,곡성군,12029,486,5732,140,18387
광산구,2,전남광주,광산구,179529,4383,34272,1782,219966
광양시,2,전남광주,광양시,81943,2328,18381,2291,104943
구례군,2,전남광주,구례군,10236,458,4217,98,15009
나주시,2,전남광주,나주시,55770,2203,17443,677,76093
남구,2,전남광주,남구,84881,2189,9420,433,96923
담양군,2,전남광주,담양군,21054,992,9001,317,31364
동구,2,전남광주,동구,43076,999,4534,227,48836
목포시,2,전남광주,목포시,83081,2843,14812,711,101447
무안군,2,전남광주,무안군,44568,1665,13227,385,59845
보성군,2,전남광주,보성군,15644,828,8644,171,25287
북구,2,전남광주,북구,179610,4526,26013,1164,211313
서구,2,전남광주,서구,131616,3180,16506,661,151963
순천시,2,전남광주,순천시,129028,3438,24942,1476,158884
신안군,2,전남광주,신안군,136468,2951,10461,187,150067
