Category_Name,Depth,Level1,Level2,Level3,Level4,서울,전남광주,부산,대구,인천,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,합계
총계,0,,,,,3150052,2071767,1586922,1266989,1761693,750374,613085,205764,6775618,883550,965899,1302273,1010781,1573158,2036905,732454,26687284
승용차합계,1,승용차합계,,,,2767494,1658658,1360451,1079971,1516316,646873,523349,184103,5732405,690588,767988,1022172,783854,1196093,1683691,621080,22235086
승용일반형 계,2,승용차합계,승용일반형 계,,,1689934,957756,805671,673255,847513,393806,305083,109284,3301251,387617,447787,592445,457320,731320,1003904,310654,13014600
승용일반형 국산 소계,3,승용차합계,승용일반형 계,승용일반형 국산 소계,,1217428,837685,609653,540286,655343,334500,272417,89479,2666954,338631,393547,522202,398530,651589,853869,280614,10662727
승용일반형 국산 800CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 800CC미만,4272,2227,1866,2066,2243,1102,787,152,8374,1305,1371,1757,1345,3526,4362,826,37581
승용일반형 국산 1000CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 1000CC미만,149112,122225,96266,82555,131381,56850,58399,15577,505656,84385,76151,101317,59786,127897,180941,52583,1901081
승용일반형 국산 1500CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 1500CC미만,57804,26384,23432,20638,27736,12863,9387,3407,114083,14243,16041,21080,16657,25992,32260,8752,430759
승용일반형 국산 2000CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 2000CC미만,594280,424625,304306,263731,310702,171527,124403,45158,1292679,156538,192486,250688,205451,303956,394214,123436,5158180
승용일반형 국산 2500CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 2500CC미만,190111,121897,91973,78664,90245,45163,36300,13761,368371,39813,49652,67723,52459,80553,114741,46497,1487923
승용일반형 국산 3000CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 3000CC미만,89619,62139,33931,38658,31232,21447,18846,5261,155211,17654,24330,34322,29825,48016,50909,6662,668062
승용일반형 국산 3500CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 3500CC미만,87565,48875,36201,33530,36843,15569,15443,3658,137033,14464,18701,26761,19272,35991,46147,20162,596215
승용일반형 국산 4000CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 4000CC미만,30499,16925,12820,13013,11493,5470,5681,1225,51576,5641,7401,11180,8335,15254,16722,4022,217257
승용일반형 국산 4500CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 4500CC미만,185,49,38,35,42,40,19,4,217,29,30,30,23,47,51,16,855
승용일반형 국산 5000CC미만,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 5000CC미만,606,284,243,263,190,105,119,20,955,129,140,228,154,361,396,52,4245
승용일반형 국산 5000CC이상,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 5000CC이상,2473,1163,1172,1115,962,372,495,98,4433,494,590,952,652,1320,1534,221,18046
승용일반형 국산 저속전기,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 저속전기,3,2,1,0,2,1,0,0,2,0,1,3,0,0,1,0,16
승용일반형 국산 전기,4,승용차합계,승용일반형 계,승용일반형 국산 소계,승용일반형 국산 전기,10899,10890,7404,6018,12272,3991,2538,1158,28364,3936,6653,6161,4571,8676,11591,17385,142507
승용일반형 외산 소계,3,승용차합계,승용일반형 계,승용일반형 외산 소계,,472506,120071,196018,132969,192170,59306,32666,19805,634297,48986,54240,70243,58790,79731,150035,30040,2351873
승용일반형 외산 800CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 800CC미만,517,55,108,78,143,35,32,23,865,55,46,81,42,79,91,56,2306
승용일반형 외산 1000CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 1000CC미만,515,53,71,83,111,46,41,11,602,61,44,38,27,59,70,31,1863
승용일반형 외산 1500CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 1500CC미만,23950,8874,9556,8549,10956,4766,2768,1851,48566,5622,5097,6786,4523,7736,10884,2765,163249
승용일반형 외산 2000CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 2000CC미만,257635,64154,104746,69448,105338,33305,18226,11145,342529,25966,29110,36449,31986,40170,78109,15537,1263853
승용일반형 외산 2500CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 2500CC미만,58025,14880,18431,16987,15830,6855,3606,2588,78841,5459,5765,7781,6913,11142,13969,2143,269215
승용일반형 외산 3000CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 3000CC미만,58654,16116,31662,19002,29955,6406,3633,1597,69077,4884,6439,8414,7577,9428,22996,3500,299340
승용일반형 외산 3500CC미만,4,승용차합계,승용일반형 계,승용일반형 외산 소계,승용일반형 외산 3500CC미만,23620,4066,6040,4461,3864,1970,1196,519,23618,1621,1779,2542,1940,3074,4232,758,85300
