년도,차종,용도,등록대수
2007,승용,관용,20714
2007,승용,자가용,11674085
2007,승용,영업용,404980
2007,승용,계,12099779
2007,승합,관용,12650
2007,승합,자가용,999807
2007,승합,영업용,92492
2007,승합,계,1104949
2007,화물,관용,25230
2007,화물,자가용,2811537
2007,화물,영업용,334584
2007,화물,계,3171351
2007,특수,관용,2090
2007,특수,자가용,10945
2007,특수,영업용,39063
2007,특수,계,52098
2007,합계,관용,60684
2007,합계,자가용,15496374
2007,합계,영업용,871119
2007,합계,계,16428177
2008,승용,관용,21388
2008,승용,자가용,12025715
2008,승용,영업용,436706
2008,승용,계,12483809
2008,승합,관용,13269
2008,승합,자가용,987448
2008,승합,영업용,95981
2008,승합,계,1096698
2008,화물,관용,25535
2008,화물,자가용,2796092
2008,화물,영업용,338711
2008,화물,계,3160338
2008,특수,관용,2110
2008,특수,자가용,11372
2008,특수,영업용,39892
2008,특수,계,53374
2008,합계,관용,62302
2008,합계,자가용,15820627
2008,합계,영업용,911290
2008,합계,계,16794219
2009,승용,관용,22267
2009,승용,자가용,12551833
2009,승용,영업용,449719
2009,승용,계,13023819
2009,승합,관용,14177
2009,승합,자가용,967890
2009,승합,영업용,98620
2009,승합,계,1080687
2009,화물,관용,25970
2009,화물,자가용,2798797
2009,화물,영업용,341745
2009,화물,계,3166512
2009,특수,관용,2070
2009,특수,자가용,11890
2009,특수,영업용,40232
2009,특수,계,54192
2009,합계,관용,64484
2009,합계,자가용,16330410
2009,합계,영업용,930316
2009,합계,계,17325210
2010,승용,관용,22872
2010,승용,자가용,13124972
2010,승용,영업용,483925
2010,승용,계,13631769
2010,승합,관용,15039
2010,승합,자가용,931740
2010,승합,영업용,102946
2010,승합,계,1049725
2010,화물,관용,26306
2010,화물,자가용,2831697
2010,화물,영업용,345805
2010,화물,계,3203808
2010,특수,관용,2055
2010,특수,자가용,12604
2010,특수,영업용,41395
2010,특수,계,56054
2010,합계,관용,66272
2010,합계,자가용,16901013
2010,합계,영업용,974071
2010,합계,계,17941356
2011,승용,관용,24244
2011,승용,자가용,13601821
2011,승용,영업용,510413
2011,승용,계,14136478
2011,승합,관용,15667
2011,승합,자가용,893717
2011,승합,영업용,106007
2011,승합,계,1015391
2011,화물,관용,26680
2011,화물,자가용,2848544
2011,화물,영업용,351197
2011,화물,계,3226421
2011,특수,관용,2098
2011,특수,자가용,13150
2011,특수,영업용,43835
2011,특수,계,59083
2011,합계,관용,68689
2011,합계,자가용,17357232
2011,합계,영업용,1011452
2011,합계,계,18437373
2012,승용,관용,25295
2012,승용,자가용,14010618
2012,승용,영업용,541280
2012,승용,계,14577193
2012,승합,관용,16428
2012,승합,자가용,860074
2012,승합,영업용,110331
2012,승합,계,986833
2012,화물,관용,27177
2012,화물,자가용,2862737
2012,화물,영업용,354010
2012,화물,계,3243924
2012,특수,관용,2215
2012,특수,자가용,13899
2012,특수,영업용,46469
2012,특수,계,62583
2012,합계,관용,71115
2012,합계,자가용,17747328
2012,합계,영업용,1052090
2012,합계,계,18870533
2013,승용,관용,25409
2013,승용,자가용,14459653
2013,승용,영업용,593292
2013,승용,계,15078354
2013,승합,관용,17270
2013,승합,자가용,837173
2013,승합,영업용,116362
2013,승합,계,970805
2013,화물,관용,27768
2013,화물,자가용,2890373
2013,화물,영업용,367566
2013,화물,계,3285707
2013,특수,관용,2334
2013,특수,자가용,15093
2013,특수,영업용,48571
2013,특수,계,65998
2013,합계,관용,72781
2013,합계,자가용,18202292
2013,합계,영업용,1125791
2013,합계,계,19400864
2014,승용,관용,26521
2014,승용,자가용,15060131
2014,승용,영업용,660519
2014,승용,계,15747171
2014,승합,관용,18123
2014,승합,자가용,806177
2014,승합,영업용,122712
2014,승합,계,947012
2014,화물,관용,28321
2014,화물,자가용,2946779
2014,화물,영업용,378583
2014,화물,계,3353683
2014,특수,관용,2398
2014,특수,자가용,16706
2014,특수,영업용,50985
2014,특수,계,70089
2014,합계,관용,75363
2014,합계,자가용,18829793
2014,합계,영업용,1212799
2014,합계,계,20117955
2015,승용,관용,27004
2015,승용,자가용,15807517
2015,승용,영업용,727144
2015,승용,계,16561665
2015,승합,관용,19079
2015,승합,자가용,776127
2015,승합,영업용,125114
2015,승합,계,920320
2015,화물,관용,29052
2015,화물,자가용,3020822
2015,화물,영업용,383063
2015,화물,계,3432937
2015,특수,관용,2422
2015,특수,자가용,18103
2015,특수,영업용,54438
2015,특수,계,74963
2015,합계,관용,77557
2015,합계,자가용,19622569
2015,합계,영업용,1289759
2015,합계,계,20989885
2016,승용,관용,27750
2016,승용,자가용,16505364
2016,승용,영업용,805046
2016,승용,계,17338160
2016,승합,관용,20260
2016,승합,자가용,746360
2016,승합,영업용,125919
2016,승합,계,892539
2016,화물,관용,29834
2016,화물,자가용,3072915
2016,화물,영업용,389424
2016,화물,계,3492173
2016,특수,관용,2532
2016,특수,자가용,20670
2016,특수,영업용,57277
2016,특수,계,80479
2016,합계,관용,80376
2016,합계,자가용,20345309
2016,합계,영업용,1377666
2016,합계,계,21803351
2017,승용,관용,30705
2017,승용,자가용,17121786
2017,승용,영업용,882049
2017,승용,계,18034540
2017,승합,관용,21556
2017,승합,자가용,720188
2017,승합,영업용,125778
2017,승합,계,867522
2017,화물,관용,30813
2017,화물,자가용,3118342
2017,화물,영업용,391168
2017,화물,계,3540323
2017,특수,관용,2687
2017,특수,자가용,23942
2017,특수,영업용,59281
2017,특수,계,85910
2017,합계,관용,85761
2017,합계,자가용,20984258
2017,합계,영업용,1458276
2017,합계,계,22528295
2018,승용,관용,32819
2018,승용,자가용,17663188
2018,승용,영업용,980917
2018,승용,계,18676924
2018,승합,관용,22540
2018,승합,자가용,696898
2018,승합,영업용,124356
2018,승합,계,843794
2018,화물,관용,31957
2018,화물,자가용,3152275
2018,화물,영업용,406707
2018,화물,계,3590939
2018,특수,관용,2784
2018,특수,자가용,27212
2018,특수,영업용,60902
2018,특수,계,90898
2018,합계,관용,90100
2018,합계,자가용,21539573
2018,합계,영업용,1572882
2018,합계,계,23202555
2019,승용,관용,33344
2019,승용,자가용,18071723
2019,승용,영업용,1072450
2019,승용,계,19177517
2019,승합,관용,23014
