city,year,month,type_l1,type_l2,type_l3,type_l4,registered_count
강원,2026,08,승용,겸 화물,외산,1500CC미만,3041
강원,2026,08,승용,겸 화물,외산,2000CC미만,0
강원,2026,08,승용,겸 화물,외산,2500CC미만,127
강원,2026,08,승용,겸 화물,외산,3000CC미만,13
강원,2026,08,승용,겸 화물,외산,3500CC미만,3
강원,2026,08,승용,겸 화물,외산,3500CC이상,37
강원,2026,08,승용,겸 화물,외산,저속전기,0
강원,2026,08,승용,겸 화물,외산,전기,45
강원,2026,08,승용,기타형,외산,1500CC미만,10385
강원,2026,08,승용,기타형,외산,2000CC미만,27339
강원,2026,08,승용,기타형,외산,2500CC미만,16982
강원,2026,08,승용,기타형,외산,3000CC미만,300
강원,2026,08,승용,기타형,외산,3500CC미만,3782
강원,2026,08,승용,기타형,외산,3500CC이상,53
강원,2026,08,승용,기타형,외산,저속전기,29
강원,2026,08,승용,기타형,외산,전기,1722
강원,2026,08,승용,다목적형,외산,1500CC미만,6452
강원,2026,08,승용,다목적형,외산,2000CC미만,144495
강원,2026,08,승용,다목적형,외산,2500CC미만,46198
강원,2026,08,승용,다목적형,외산,3000CC미만,16657
강원,2026,08,승용,다목적형,외산,3500CC미만,1932
강원,2026,08,승용,다목적형,외산,3500CC이상,5484
강원,2026,08,승용,다목적형,외산,저속전기,2
강원,2026,08,승용,다목적형,외산,전기,17893
강원,2026,08,승용,일반형,국산,1000CC미만,84385
강원,2026,08,승용,일반형,국산,1500CC미만,14243
강원,2026,08,승용,일반형,국산,2000CC미만,156538
강원,2026,08,승용,일반형,국산,2500CC미만,39813
강원,2026,08,승용,일반형,국산,3000CC미만,17654
강원,2026,08,승용,일반형,국산,3500CC미만,14464
강원,2026,08,승용,일반형,국산,4000CC미만,5641
강원,2026,08,승용,일반형,국산,4500CC미만,29
강원,2026,08,승용,일반형,국산,5000CC미만,129
강원,2026,08,승용,일반형,국산,5000CC이상,494
강원,2026,08,승용,일반형,국산,800CC미만,1305
강원,2026,08,승용,일반형,국산,저속전기,0
강원,2026,08,승용,일반형,국산,전기,3936
강원,2026,08,승용,일반형,외산,1000CC미만,61
강원,2026,08,승용,일반형,외산,1500CC미만,5622
강원,2026,08,승용,일반형,외산,2000CC미만,25966
강원,2026,08,승용,일반형,외산,2500CC미만,5459
강원,2026,08,승용,일반형,외산,3000CC미만,4884
강원,2026,08,승용,일반형,외산,3500CC미만,1621
강원,2026,08,승용,일반형,외산,4000CC미만,1144
강원,2026,08,승용,일반형,외산,4500CC미만,315
